user_id,item_id,story,casting,direction,images,music,rating
.B8l96iDeCvYGIKBOAjXGz4-/,322250,1,5,5,5,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,322539,1,5,5,5,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,241898,1,3,3,1,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,329605,1,5,5,3,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,85316,1,5,5,5,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,325467,1,1,1,1,1,3
.B8l96iDeCvYGIKBOAjXGz4-/,83982,1,3,3,3,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,329623,1,3,3,5,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,320824,1,5,5,3,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,630,1,3,3,3,1,1
.B8l96iDeCvYGIKBOAjXGz4-/,240796,1,3,3,1,1,3
.B8l96iDeCvYGIKBOAjXGz4-/,320680,1,3,5,5,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,324028,1,3,3,3,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,161374,1,5,3,3,5,3
.B8l96iDeCvYGIKBOAjXGz4-/,320853,1,3,3,3,1,1
.B8l96iDeCvYGIKBOAjXGz4-/,327924,1,1,3,3,1,3
.B8l96iDeCvYGIKBOAjXGz4-/,324246,1,5,3,3,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,83294,1,5,5,5,5,5
.B8l96iDeCvYGIKBOAjXGz4-/,329345,1,3,3,3,3,5
.B8l96iDeCvYGIKBOAjXGz4-/,325801,1,3,5,3,3,5
0At_OMWXfiONFAQ-/,162811,1,3,5,3,5,5
0At_OMWXfiONFAQ-/,87248,1,5,3,3,3,1
0At_OMWXfiONFAQ-/,327994,1,5,5,5,5,5
0At_OMWXfiONFAQ-/,329400,1,5,3,5,3,5
0At_OMWXfiONFAQ-/,330569,1,5,3,3,3,3
0At_OMWXfiONFAQ-/,338475,1,1,3,3,3,3
0At_OMWXfiONFAQ-/,325624,1,3,3,3,3,3
0At_OMWXfiONFAQ-/,322931,1,3,3,3,3,5
0At_OMWXfiONFAQ-/,326052,1,5,5,5,5,5
0At_OMWXfiONFAQ-/,332673,1,3,3,3,1,3
0At_OMWXfiONFAQ-/,238828,1,3,3,3,3,3
0At_OMWXfiONFAQ-/,327912,1,5,3,3,3,5
0At_OMWXfiONFAQ-/,342451,1,5,5,5,5,5
0At_OMWXfiONFAQ-/,342785,1,3,3,3,3,3
0At_OMWXfiONFAQ-/,324256,1,5,5,3,3,5
0At_OMWXfiONFAQ-/,327786,1,1,1,1,3,1
0At_OMWXfiONFAQ-/,324946,1,3,1,1,1,1
0At_OMWXfiONFAQ-/,329124,1,3,3,5,5,5
0At_OMWXfiONFAQ-/,340849,1,5,3,1,3,3
0At_OMWXfiONFAQ-/,333522,1,5,5,5,3,5
0CzBUdiCeHrNb4xmSMt7/,344412,1,1,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,345880,1,1,1,1,1,1
0CzBUdiCeHrNb4xmSMt7/,331380,1,3,3,3,3,5
0CzBUdiCeHrNb4xmSMt7/,330798,1,1,1,1,3,1
0CzBUdiCeHrNb4xmSMt7/,337197,1,3,3,1,1,1
0CzBUdiCeHrNb4xmSMt7/,347542,1,1,1,3,1,3
0CzBUdiCeHrNb4xmSMt7/,337962,1,1,1,1,1,1
0CzBUdiCeHrNb4xmSMt7/,341090,1,3,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,329107,1,3,1,3,3,1
0CzBUdiCeHrNb4xmSMt7/,343977,1,3,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,339856,1,5,5,5,5,5
0CzBUdiCeHrNb4xmSMt7/,338721,1,3,1,3,3,1
0CzBUdiCeHrNb4xmSMt7/,332244,1,1,1,1,1,1
0CzBUdiCeHrNb4xmSMt7/,335747,1,3,3,1,1,1
0CzBUdiCeHrNb4xmSMt7/,342049,1,3,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,329887,1,1,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,343488,1,1,3,3,3,1
0CzBUdiCeHrNb4xmSMt7/,327991,1,1,1,3,1,1
0CzBUdiCeHrNb4xmSMt7/,341074,1,5,3,3,3,5
0CzBUdiCeHrNb4xmSMt7/,341532,1,5,3,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,161586,1,1,3,3,1,5
0Ks.zdyddD79RZ5kXBAU3A--/,327543,1,3,5,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,332551,1,1,5,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,325799,1,3,5,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,333670,1,3,3,3,3,3
0Ks.zdyddD79RZ5kXBAU3A--/,329493,1,3,1,1,1,5
0Ks.zdyddD79RZ5kXBAU3A--/,327912,1,1,5,3,3,1
0Ks.zdyddD79RZ5kXBAU3A--/,331109,1,5,5,3,5,5
0Ks.zdyddD79RZ5kXBAU3A--/,326216,1,1,3,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,329807,1,3,3,5,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,329124,1,3,5,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,322994,1,3,3,1,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,333252,1,3,5,5,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,329055,1,3,3,3,3,3
0Ks.zdyddD79RZ5kXBAU3A--/,325624,1,3,3,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,329293,1,3,3,3,3,3
0Ks.zdyddD79RZ5kXBAU3A--/,334507,1,3,5,3,3,1
0Ks.zdyddD79RZ5kXBAU3A--/,323987,1,5,3,3,5,5
0Ks.zdyddD79RZ5kXBAU3A--/,236086,1,3,3,3,3,5
0Ks.zdyddD79RZ5kXBAU3A--/,327914,1,3,5,5,5,1
0lM8DQaFdDqmh_VMa7d5/,336481,1,5,3,3,3,5
0lM8DQaFdDqmh_VMa7d5/,336448,1,3,5,5,3,5
0lM8DQaFdDqmh_VMa7d5/,339967,1,5,5,5,3,3
0lM8DQaFdDqmh_VMa7d5/,334235,1,5,5,3,3,5
0lM8DQaFdDqmh_VMa7d5/,340151,1,5,3,3,5,5
0lM8DQaFdDqmh_VMa7d5/,337733,1,5,5,3,3,5
0lM8DQaFdDqmh_VMa7d5/,338090,1,5,5,3,5,5
0lM8DQaFdDqmh_VMa7d5/,339180,1,3,3,5,3,3
0lM8DQaFdDqmh_VMa7d5/,340828,1,3,3,3,3,3
0lM8DQaFdDqmh_VMa7d5/,342575,1,3,3,3,3,3
0lM8DQaFdDqmh_VMa7d5/,339354,1,3,3,3,1,1
0lM8DQaFdDqmh_VMa7d5/,343336,1,3,3,3,3,5
0lM8DQaFdDqmh_VMa7d5/,341701,1,5,5,3,5,5
0lM8DQaFdDqmh_VMa7d5/,343946,1,3,3,3,3,1
0lM8DQaFdDqmh_VMa7d5/,343527,1,3,5,3,3,5
0lM8DQaFdDqmh_VMa7d5/,341804,1,3,3,3,3,1
0lM8DQaFdDqmh_VMa7d5/,336897,1,1,1,3,1,3
0lM8DQaFdDqmh_VMa7d5/,335594,1,5,5,3,3,5
0lM8DQaFdDqmh_VMa7d5/,341641,1,3,5,5,5,5
0lM8DQaFdDqmh_VMa7d5/,341643,1,1,1,3,3,1
1g0giPOSZyO3A7s.xOk_SVI-/,329605,1,5,5,5,3,5
1g0giPOSZyO3A7s.xOk_SVI-/,342158,1,3,3,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,161771,1,3,3,3,5,1
1g0giPOSZyO3A7s.xOk_SVI-/,338475,1,3,3,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,327991,1,3,3,1,3,1
1g0giPOSZyO3A7s.xOk_SVI-/,329400,1,1,1,1,1,1
1g0giPOSZyO3A7s.xOk_SVI-/,330569,1,1,1,1,1,1
1g0giPOSZyO3A7s.xOk_SVI-/,333193,1,3,5,5,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,334058,1,5,5,5,5,5
1g0giPOSZyO3A7s.xOk_SVI-/,331380,1,3,5,3,5,3
1g0giPOSZyO3A7s.xOk_SVI-/,7246,1,3,5,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,339915,1,3,3,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,322281,1,5,5,5,3,5
1g0giPOSZyO3A7s.xOk_SVI-/,1281,1,5,5,3,5,3
1g0giPOSZyO3A7s.xOk_SVI-/,326203,1,3,5,5,1,3
1g0giPOSZyO3A7s.xOk_SVI-/,330418,1,5,5,5,5,5
1g0giPOSZyO3A7s.xOk_SVI-/,321979,1,5,5,5,5,5
1g0giPOSZyO3A7s.xOk_SVI-/,340494,1,5,5,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,9995,1,3,3,3,3,3
1g0giPOSZyO3A7s.xOk_SVI-/,336605,1,5,5,3,3,5
2rC3S1GcZzc5GW2gWA--/,337910,1,5,5,3,3,5
2rC3S1GcZzc5GW2gWA--/,336698,1,5,3,5,3,1
2rC3S1GcZzc5GW2gWA--/,339115,1,5,5,5,5,5
2rC3S1GcZzc5GW2gWA--/,336592,1,5,5,5,3,5
2rC3S1GcZzc5GW2gWA--/,338336,1,5,3,3,5,5
2rC3S1GcZzc5GW2gWA--/,346540,1,3,3,5,5,5
2rC3S1GcZzc5GW2gWA--/,348084,1,3,3,1,3,5
2rC3S1GcZzc5GW2gWA--/,341586,1,3,3,3,3,5
2rC3S1GcZzc5GW2gWA--/,343365,1,3,1,3,3,3
2rC3S1GcZzc5GW2gWA--/,340335,1,3,5,5,5,5
2rC3S1GcZzc5GW2gWA--/,340078,1,5,3,3,3,3
2rC3S1GcZzc5GW2gWA--/,334208,1,3,3,3,3,3
2rC3S1GcZzc5GW2gWA--/,349260,1,3,3,3,3,5
2rC3S1GcZzc5GW2gWA--/,343712,1,5,5,3,3,5
2rC3S1GcZzc5GW2gWA--/,340852,1,3,3,3,1,3
2rC3S1GcZzc5GW2gWA--/,336481,1,5,5,5,5,5
2rC3S1GcZzc5GW2gWA--/,344361,1,3,3,3,1,5
2rC3S1GcZzc5GW2gWA--/,337962,1,5,3,3,3,3
2rC3S1GcZzc5GW2gWA--/,336755,1,3,3,3,3,3
2rC3S1GcZzc5GW2gWA--/,336174,1,3,3,3,3,5
3bkYu5yefHj8OoJVC7PtpQ--/,321911,1,5,5,3,5,5
3bkYu5yefHj8OoJVC7PtpQ--/,332673,1,1,1,1,1,3
3bkYu5yefHj8OoJVC7PtpQ--/,16122,1,1,1,1,1,1
